[2025-08-18 08:01:31] Usuario: admin_wh | Acao: EXCLUIR_PATCH_PANEL | Detalhes: Patch Panel ID 12 excluído | Status: sucesso
[2025-08-18 08:02:42] Usuario: admin_wh | Acao: CRIAR_PATCH_PANEL | Detalhes: Patch Panel criado: Patch Panel 01 - 1 Andar - 500 portas (1-500) | Status: sucesso
[2025-08-18 08:03:35] Usuario: admin_wh | Acao: CONECTAR_EQUIPAMENTO_PATCH_PANEL | Detalhes: Equipamento Painel Agenda conectado à porta 700 do patch panel | Status: sucesso
[2025-08-18 08:03:48] Usuario: admin_wh | Acao: CONECTAR_EQUIPAMENTO_PATCH_PANEL | Detalhes: Equipamento Sensor de presença conectado à porta 703 do patch panel | Status: sucesso
[2025-08-18 08:04:09] Usuario: admin_wh | Acao: CONECTAR_EQUIPAMENTO_PATCH_PANEL | Detalhes: Equipamento Chromebox conectado à porta 706 do patch panel | Status: sucesso
[2025-08-18 08:04:46] Usuario: admin_wh | Acao: MAPEAR_PORTA_PATCH_PANEL | Detalhes: Porta 700 mapeada para Switch 6, Porta 37 | Status: sucesso
[2025-08-18 08:05:13] Usuario: admin_wh | Acao: MAPEAR_PORTA_PATCH_PANEL | Detalhes: Porta 703 mapeada para Switch 6, Porta 38 | Status: sucesso
[2025-08-18 08:05:34] Usuario: admin_wh | Acao: MAPEAR_PORTA_PATCH_PANEL | Detalhes: Porta 706 mapeada para Switch 6, Porta 39 | Status: sucesso
[2025-08-18 10:17:55] Usuario: admin_wh | Acao: ATUALIZAR_EQUIPAMENTO | Detalhes: Equipamento atualizado: ID=540, Nome=Adaptador HDMI mesa, Tipo=Adaptador, Marca=Kramer, Modelo=HDMI F to HDMI F | Status: sucesso
[2025-08-18 10:23:22] Usuario: admin_wh | Acao: ATUALIZAR_EQUIPAMENTO | Detalhes: Equipamento atualizado: ID=3, Nome=TV, Tipo=TV, Marca=LG, Modelo=50UP751C0SF | Status: sucesso
[2025-08-18 10:24:51] Usuario: admin_wh | Acao: ATUALIZAR_EQUIPAMENTO | Detalhes: Equipamento atualizado: ID=3, Nome=TV, Tipo=TV, Marca=LG, Modelo=50UP751C0SF | Status: sucesso
[2025-08-18 10:25:59] Usuario: admin_wh | Acao: ATUALIZAR_EQUIPAMENTO | Detalhes: Equipamento atualizado: ID=3, Nome=TV, Tipo=TV, Marca=LG, Modelo=50UP751C0SF | Status: sucesso
[2025-08-18 10:26:16] Usuario: admin_wh | Acao: ATUALIZAR_EQUIPAMENTO | Detalhes: Equipamento atualizado: ID=3, Nome=TV, Tipo=TV, Marca=LG, Modelo=50UP751C0SF | Status: sucesso
[2025-08-18 10:26:22] Usuario: admin_wh | Acao: ATUALIZAR_EQUIPAMENTO | Detalhes: Equipamento atualizado: ID=3, Nome=TV, Tipo=TV, Marca=LG, Modelo=50UP751C0SF | Status: sucesso
[2025-08-18 10:26:28] Usuario: admin_wh | Acao: ATUALIZAR_EQUIPAMENTO | Detalhes: Equipamento atualizado: ID=3, Nome=TV, Tipo=TV, Marca=LG, Modelo=50UP751C0SF | Status: sucesso
[2025-08-18 10:36:53] Usuario: admin_wh | Acao: ATUALIZAR_EQUIPAMENTO | Detalhes: Equipamento atualizado: ID=3, Nome=TV, Tipo=TV, Marca=LG, Modelo=50UP751C0SF | Status: sucesso
[2025-08-18 10:36:59] Usuario: admin_wh | Acao: ATUALIZAR_EQUIPAMENTO | Detalhes: Equipamento atualizado: ID=3, Nome=TV, Tipo=TV, Marca=LG, Modelo=50UP751C0SF | Status: sucesso
[2025-08-18 10:52:19] Usuario: admin_wh | Acao: ATUALIZAR_SALA | Detalhes: Sala atualizada: ID=1, Nome=Sala 01, Equipamentos desatrelados=9, Equipamentos vinculados=0 | Status: sucesso
[2025-08-18 10:52:41] Usuario: admin_wh | Acao: ATUALIZAR_SALA | Detalhes: Sala atualizada: ID=1, Nome=Sala 01, Equipamentos desatrelados=0, Equipamentos vinculados=0 | Status: sucesso
[2025-08-18 11:07:48] Usuario: admin_wh | Acao: CRIAR_SALA | Detalhes: Sala criada: ID=93, Nome=teste (via formulário) | Status: sucesso
[2025-08-18 11:08:33] Usuario: admin_wh | Acao: EXCLUIR_SALA | Detalhes: Sala excluída: ID=93, Nome=teste | Status: sucesso
[2025-08-18 11:11:34] Usuario: admin_wh | Acao: ATUALIZAR_SALA | Detalhes: Sala atualizada: ID=1, Nome=Sala 01, Equipamentos desatrelados=0, Equipamentos vinculados=9 | Status: sucesso
[2025-08-18 15:21:30] Usuario: admin_wh | Acao: CRIAR_EQUIPAMENTO | Detalhes: Equipamento criado: ID=577, Nome=Adaptador HDMI mesa, Tipo=Adaptador, Marca=Kramer, Modelo=HDMI F to HDMI F | Status: sucesso
[2025-08-18 15:34:00] Usuario: admin_wh | Acao: CRIAR_EQUIPAMENTO | Detalhes: Equipamento criado: ID=578, Nome=Mic Pod Hub, Tipo=Hub, Marca=Logitech, Modelo=Mic Pod | Status: sucesso
