[2025-08-13 16:18:15] Usuario: admin_wh | Acao: LOGOUT | Detalhes: Logout realizado - Nível: admin, Nome: Admin WH | Status: sucesso
[2025-08-13 16:18:22] Usuario: admin_wh | Acao: LOGIN | Detalhes: Login realizado com sucesso - Nível: admin, Nome: Admin WH | Status: sucesso
[2025-08-13 16:18:22] Usuario: admin_wh | Acao: ESCOLHER_EMPRESA | Detalhes: Empresa selecionada: empresa_wh.db | Status: sucesso
[2025-08-13 16:26:22] Usuario: admin_wh | Acao: salvar_layout | Detalhes: sala_id=1 | Status: sucesso
[2025-08-13 16:27:18] Usuario: admin_wh | Acao: salvar_layout | Detalhes: sala_id=1 | Status: sucesso
[2025-08-13 16:49:23] Usuario: admin_wh | Acao: LOGOUT | Detalhes: Logout realizado - Nível: admin, Nome: Admin WH | Status: sucesso
[2025-08-14 11:54:35] Usuario: admin_wh | Acao: LOGIN | Detalhes: Login realizado com sucesso - Nível: admin, Nome: Admin WH | Status: sucesso
[2025-08-14 11:54:35] Usuario: admin_wh | Acao: ESCOLHER_EMPRESA | Detalhes: Empresa selecionada: empresa_wh.db | Status: sucesso
[2025-08-14 15:20:01] Usuario: admin_wh | Acao: LOGOUT | Detalhes: Logout realizado - Nível: admin, Nome: Admin WH | Status: sucesso
[2025-08-14 15:20:10] Usuario: admin_wh | Acao: LOGIN | Detalhes: Login realizado com sucesso - Nível: admin, Nome: Admin WH | Status: sucesso
[2025-08-14 15:20:10] Usuario: admin_wh | Acao: ESCOLHER_EMPRESA | Detalhes: Empresa selecionada: empresa_wh.db | Status: sucesso
[2025-08-14 15:23:06] Usuario: admin_wh | Acao: LOGIN | Detalhes: Login realizado com sucesso - Nível: admin, Nome: Admin WH | Status: sucesso
[2025-08-14 15:23:06] Usuario: admin_wh | Acao: ESCOLHER_EMPRESA | Detalhes: Empresa selecionada: empresa_wh.db | Status: sucesso
[2025-08-18 07:48:44] Usuario: admin_wh | Acao: LOGIN | Detalhes: Login realizado com sucesso - Nível: admin, Nome: Admin WH | Status: sucesso
[2025-08-18 07:48:44] Usuario: admin_wh | Acao: ESCOLHER_EMPRESA | Detalhes: Empresa selecionada: empresa_wh.db | Status: sucesso
[2025-08-18 07:54:05] Usuario: admin_wh | Acao: salvar_layout | Detalhes: sala_id=17 | Status: sucesso
[2025-08-18 07:55:04] Usuario: admin_wh | Acao: salvar_layout | Detalhes: sala_id=18 | Status: sucesso
[2025-08-18 08:26:42] Usuario: admin_wh | Acao: criar_cabo | Detalhes: Cabo ETH-082 criado | Status: sucesso
[2025-08-18 08:26:42] Usuario: admin_wh | Acao: criar_conexao_cabo | Detalhes: Conexão de cabo 166 criada | Status: sucesso
[2025-08-18 08:27:26] Usuario: admin_wh | Acao: criar_cabo | Detalhes: Cabo ETH-083 criado | Status: sucesso
[2025-08-18 08:27:26] Usuario: admin_wh | Acao: criar_conexao_cabo | Detalhes: Conexão de cabo 167 criada | Status: sucesso
[2025-08-18 08:27:53] Usuario: admin_wh | Acao: criar_cabo | Detalhes: Cabo ETH-084 criado | Status: sucesso
[2025-08-18 08:27:53] Usuario: admin_wh | Acao: criar_conexao_cabo | Detalhes: Conexão de cabo 168 criada | Status: sucesso
[2025-08-18 08:29:11] Usuario: admin_wh | Acao: LOGOUT | Detalhes: Logout realizado - Nível: admin, Nome: Admin WH | Status: sucesso
[2025-08-18 08:29:20] Usuario: tecnico_wh | Acao: LOGIN | Detalhes: Login realizado com sucesso - Nível: tecnico, Nome: Técnico WH | Status: sucesso
[2025-08-18 08:29:20] Usuario: tecnico_wh | Acao: ESCOLHER_EMPRESA | Detalhes: Empresa selecionada: empresa_wh.db | Status: sucesso
[2025-08-18 08:30:41] Usuario: admin_wh | Acao: LOGIN | Detalhes: Login realizado com sucesso - Nível: admin, Nome: Admin WH | Status: sucesso
[2025-08-18 08:30:41] Usuario: admin_wh | Acao: ESCOLHER_EMPRESA | Detalhes: Empresa selecionada: empresa_wh.db | Status: sucesso
[2025-08-18 09:13:32] Usuario: admin_wh | Acao: LOGOUT | Detalhes: Logout realizado - Nível: admin, Nome: Admin WH | Status: sucesso
[2025-08-18 09:13:39] Usuario: usuario_wh | Acao: LOGIN | Detalhes: Login realizado com sucesso - Nível: usuario, Nome: Usuário WH | Status: sucesso
[2025-08-18 09:13:39] Usuario: usuario_wh | Acao: ESCOLHER_EMPRESA | Detalhes: Empresa selecionada: empresa_wh.db | Status: sucesso
[2025-08-18 09:14:23] Usuario: usuario_wh | Acao: LOGOUT | Detalhes: Logout realizado - Nível: usuario, Nome: Usuário WH | Status: sucesso
[2025-08-18 09:14:28] Usuario: tecnico_wh | Acao: LOGIN | Detalhes: Login realizado com sucesso - Nível: tecnico, Nome: Técnico WH | Status: sucesso
[2025-08-18 09:14:28] Usuario: tecnico_wh | Acao: ESCOLHER_EMPRESA | Detalhes: Empresa selecionada: empresa_wh.db | Status: sucesso
[2025-08-18 09:16:27] Usuario: tecnico_wh | Acao: LOGOUT | Detalhes: Logout realizado - Nível: tecnico, Nome: Técnico WH | Status: sucesso
[2025-08-18 09:16:32] Usuario: admin_wh | Acao: LOGIN | Detalhes: Login realizado com sucesso - Nível: admin, Nome: Admin WH | Status: sucesso
[2025-08-18 09:16:32] Usuario: admin_wh | Acao: ESCOLHER_EMPRESA | Detalhes: Empresa selecionada: empresa_wh.db | Status: sucesso
